web-scraper-order,web-scraper-start-url,nom,prix,adresse,img_link-src
"1739376503-98","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches","Prix sur demande","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1395598_uploaded_image1_1577437294.33.png"
"1739376503-99","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oiseaux exotiques","20 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1393968_uploaded_image1_1577393598.45.png"
"1739376503-100","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_1389654_uploaded_image1_1577304861.89.png"
"1739376507-101","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Cheval","500 000CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_3569117_uploaded_image1_1644951974.jpg"
"1739376507-102","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Bœufs","900 000CFA","Bambey, Sénégal","https://images.coinafrique.com/thumb_3544114_uploaded_image1_1643467299.jpg"
"1739376507-103","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Jeune cheval","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_3526170_uploaded_image1_1642274663.jpg"
"1739376507-104","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Hamsters","15 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_3525591_uploaded_image1_1642246209.jpg"
"1739376507-105","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Bouc Espagnol","150 000CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_3523752_uploaded_image1_1642113362.jpg"
"1739376507-106","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Cochon dinde","45 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_3520084_uploaded_image1_1641925340.jpg"
"1739376507-107","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Cochon dinde","45 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_3520078_uploaded_image1_1641925243.jpg"
"1739376507-108","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Cochon dinde","45 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_3520065_uploaded_image1_1641924846.jpg"
"1739376507-109","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Cheval","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_3515231_uploaded_image1_1641645085.jpg"
"1739376507-110","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Chat persan chinchilla","Prix sur demande","Fann-Point E-Amitié, Dakar, Sénégal","https://images.coinafrique.com/thumb_3515163_uploaded_image1_1641642618.jpg"
"1739376507-111","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Bœufs","300 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_3509381_uploaded_image1_1641354659.jpg"
"1739376507-112","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Hamster","15 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_3502571_uploaded_image1_1640864798.jpg"
"1739376507-113","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Paon","350 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_3500261_uploaded_image1_1640699224.jpg"
"1739376507-114","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Oies de toulouse","20 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3496368_uploaded_image2_1640341893.jpeg"
"1739376507-115","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Bœuf","900 000CFA","Bambey, Sénégal","https://images.coinafrique.com/thumb_3492877_uploaded_image1_1640096405.jpg"
"1739376507-116","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Dindes","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_3474757_uploaded_image2_1638966967.jpeg"
"1739376507-117","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Chaton siamois","Prix sur demande","Grand Dakar, Dakar, Sénégal","https://images.coinafrique.com/thumb_3450631_uploaded_image1_1637664547.jpg"
"1739376507-118","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Bœufs","Prix sur demande","Louga, Sénégal","https://images.coinafrique.com/thumb_3448056_uploaded_image1_1637499860.jpg"
"1739376507-119","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Couple dinde rouge","90 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3425196_uploaded_image1_1636231334.jpg"
